domain,architecture,n,tp,fp,tn,fn,sensitivity,specificity,precision,f1,fpr,fnr,ece,latency_mean,latency_p95,ppv_0.1%,ppv_1%,ppv_5%,ppv_10%,ppv_25%,ppv_50%,npv_0.1%,npv_1%,npv_5%,npv_10%,npv_25%,npv_50%,escalate_rate,lat<5s,lat<15s,lat<30s
finance,single_shot,10,5,2,3,0,1.0,0.6,0.7143,0.8333,0.4,0.0,0.093,3.4,5.0,0.0025,0.0246,0.1163,0.2174,0.4545,0.7143,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Y,Y,Y
finance,voting_n3,10,5,0,5,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0943,11.67,15.64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,N,Y,Y
finance,moa,10,5,2,3,0,1.0,0.6,0.7143,0.8333,0.4,0.0,0.064,16.0,17.29,0.0025,0.0246,0.1163,0.2174,0.4545,0.7143,1.0,1.0,1.0,1.0,1.0,1.0,0.1,N,N,Y
finance,rag,10,1,0,5,4,0.2,1.0,1.0,0.3333,0.0,0.8,0.365,3.61,5.99,1.0,1.0,1.0,1.0,1.0,1.0,0.9992,0.992,0.9596,0.9184,0.7895,0.5556,0.8,Y,Y,Y
healthcare,single_shot,10,5,3,2,0,1.0,0.4,0.625,0.7692,0.6,0.0,0.27,3.68,5.78,0.0017,0.0166,0.0806,0.1562,0.3571,0.625,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Y,Y,Y
healthcare,voting_n3,10,5,1,4,0,1.0,0.8,0.8333,0.9091,0.2,0.0,0.211,12.77,18.19,0.005,0.0481,0.2083,0.3571,0.625,0.8333,1.0,1.0,1.0,1.0,1.0,1.0,0.2,N,Y,Y
healthcare,moa,10,5,1,4,0,1.0,0.8,0.8333,0.9091,0.2,0.0,0.204,21.31,24.9,0.005,0.0481,0.2083,0.3571,0.625,0.8333,1.0,1.0,1.0,1.0,1.0,1.0,0.1,N,N,Y
healthcare,rag,10,2,0,5,3,0.4,1.0,1.0,0.5714,0.0,0.6,0.07,6.0,7.6,1.0,1.0,1.0,1.0,1.0,1.0,0.9994,0.994,0.9694,0.9375,0.8333,0.625,0.0,N,Y,Y
political,single_shot,10,1,0,5,4,0.2,1.0,1.0,0.3333,0.0,0.8,0.25,4.73,6.75,1.0,1.0,1.0,1.0,1.0,1.0,0.9992,0.992,0.9596,0.9184,0.7895,0.5556,0.1,Y,Y,Y
political,voting_n3,10,2,0,5,3,0.4,1.0,1.0,0.5714,0.0,0.6,0.21,15.6,21.14,1.0,1.0,1.0,1.0,1.0,1.0,0.9994,0.994,0.9694,0.9375,0.8333,0.625,0.3,N,N,Y
political,moa,10,2,1,4,3,0.4,0.8,0.6667,0.5,0.2,0.6,0.13,20.42,23.64,0.002,0.0198,0.0952,0.1818,0.4,0.6667,0.9992,0.9925,0.962,0.9231,0.8,0.5714,0.1,N,N,Y
political,rag,10,1,0,5,4,0.2,1.0,1.0,0.3333,0.0,0.8,0.21,3.36,4.81,1.0,1.0,1.0,1.0,1.0,1.0,0.9992,0.992,0.9596,0.9184,0.7895,0.5556,0.8,Y,Y,Y

--- ROUTING TABLE ---
base_rate,cost_ratio,latency_budget,optimal_cross,finance_optimal,healthcare_optimal,political_optimal
0.001,FP:1_FN:1,<5.0s,rag,rag,single_shot,rag
0.001,FP:1_FN:1,<15.0s,rag,voting_n3,rag,rag
0.001,FP:1_FN:1,<30.0s,rag,voting_n3,rag,voting_n3
0.001,FP:1_FN:5,<5.0s,rag,rag,single_shot,rag
0.001,FP:1_FN:5,<15.0s,rag,voting_n3,rag,rag
0.001,FP:1_FN:5,<30.0s,rag,voting_n3,rag,voting_n3
0.001,FP:1_FN:10,<5.0s,rag,rag,single_shot,rag
0.001,FP:1_FN:10,<15.0s,rag,voting_n3,rag,rag
0.001,FP:1_FN:10,<30.0s,rag,voting_n3,rag,voting_n3
0.001,FP:1_FN:25,<5.0s,rag,rag,single_shot,rag
0.001,FP:1_FN:25,<15.0s,rag,voting_n3,rag,rag
0.001,FP:1_FN:25,<30.0s,rag,voting_n3,rag,voting_n3
0.01,FP:1_FN:1,<5.0s,rag,rag,single_shot,rag
0.01,FP:1_FN:1,<15.0s,rag,voting_n3,rag,rag
0.01,FP:1_FN:1,<30.0s,rag,voting_n3,rag,voting_n3
0.01,FP:1_FN:5,<5.0s,rag,rag,single_shot,rag
0.01,FP:1_FN:5,<15.0s,rag,voting_n3,rag,rag
0.01,FP:1_FN:5,<30.0s,rag,voting_n3,rag,voting_n3
0.01,FP:1_FN:10,<5.0s,rag,rag,single_shot,rag
0.01,FP:1_FN:10,<15.0s,rag,voting_n3,rag,rag
0.01,FP:1_FN:10,<30.0s,rag,voting_n3,rag,voting_n3
0.01,FP:1_FN:25,<5.0s,rag,rag,single_shot,rag
0.01,FP:1_FN:25,<15.0s,voting_n3,voting_n3,rag,rag
0.01,FP:1_FN:25,<30.0s,voting_n3,voting_n3,rag,voting_n3
0.05,FP:1_FN:1,<5.0s,rag,rag,single_shot,rag
0.05,FP:1_FN:1,<15.0s,rag,voting_n3,rag,rag
0.05,FP:1_FN:1,<30.0s,rag,voting_n3,rag,voting_n3
0.05,FP:1_FN:5,<5.0s,rag,rag,single_shot,rag
0.05,FP:1_FN:5,<15.0s,voting_n3,voting_n3,rag,rag
0.05,FP:1_FN:5,<30.0s,voting_n3,voting_n3,rag,voting_n3
0.05,FP:1_FN:10,<5.0s,rag,single_shot,single_shot,rag
0.05,FP:1_FN:10,<15.0s,voting_n3,voting_n3,voting_n3,rag
0.05,FP:1_FN:10,<30.0s,voting_n3,voting_n3,voting_n3,voting_n3
0.05,FP:1_FN:25,<5.0s,single_shot,single_shot,single_shot,rag
0.05,FP:1_FN:25,<15.0s,voting_n3,voting_n3,voting_n3,rag
0.05,FP:1_FN:25,<30.0s,voting_n3,voting_n3,voting_n3,voting_n3
0.1,FP:1_FN:1,<5.0s,rag,rag,single_shot,rag
0.1,FP:1_FN:1,<15.0s,rag,voting_n3,rag,rag
0.1,FP:1_FN:1,<30.0s,rag,voting_n3,rag,voting_n3
0.1,FP:1_FN:5,<5.0s,rag,single_shot,single_shot,rag
0.1,FP:1_FN:5,<15.0s,voting_n3,voting_n3,voting_n3,rag
0.1,FP:1_FN:5,<30.0s,voting_n3,voting_n3,voting_n3,voting_n3
0.1,FP:1_FN:10,<5.0s,single_shot,single_shot,single_shot,rag
0.1,FP:1_FN:10,<15.0s,voting_n3,voting_n3,voting_n3,rag
